ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
25.0,16.43,52.14,6.43,0.0
26.69,13.14,53.81,6.36,0.0
23.62,16.54,50.39,9.45,0.0
27.8,12.27,52.71,6.14,1.08
29.46,9.38,53.12,7.59,0.45
27.45,14.38,50.98,7.19,0.0
26.52,14.38,52.08,7.03,0.0
26.96,11.95,52.22,8.53,0.34
26.79,13.69,51.49,8.04,0.0
26.04,12.13,54.14,7.4,0.3
25.3,13.44,54.55,6.32,0.4
25.33,12.93,53.56,7.92,0.26
25.47,13.67,53.62,6.97,0.27
25.66,13.58,52.08,8.68,0.0
26.43,12.5,54.29,6.79,0.0
25.2,14.0,52.4,7.2,1.2
25.0,14.44,50.7,9.86,0.0
26.01,12.09,54.21,7.69,0.0
25.87,14.29,50.97,8.88,0.0
28.01,11.75,52.71,7.23,0.3
27.58,14.55,49.7,8.18,0.0
26.83,12.89,51.57,8.36,0.35
25.7,13.31,53.56,7.43,0.0
29.74,13.36,50.43,6.47,0.0
26.13,14.63,51.92,7.32,0.0
26.2,13.9,52.67,7.22,0.0
25.75,15.3,52.61,5.97,0.37
29.32,10.1,53.75,6.84,0.0
24.49,11.56,55.44,8.5,0.0
26.02,12.87,52.92,7.89,0.29
29.41,14.97,49.2,5.88,0.53
28.83,12.1,51.6,7.12,0.36
26.39,14.93,52.78,5.9,0.0
26.16,11.11,53.41,8.6,0.72
26.69,13.88,52.31,6.76,0.36
25.74,14.35,53.16,6.75,0.0
27.71,13.86,48.8,9.34,0.3
25.94,13.9,51.87,8.29,0.0
26.91,13.62,52.16,6.98,0.33
26.48,14.62,51.38,7.11,0.4
26.09,11.37,54.85,7.69,0.0
26.77,13.39,50.39,9.06,0.39
27.34,14.23,50.94,7.12,0.37
26.16,13.98,52.33,7.17,0.36
25.87,13.66,53.2,7.27,0.0
26.58,13.61,51.9,7.91,0.0
27.31,11.54,51.92,8.85,0.38
26.79,14.29,51.19,7.74,0.0
25.93,13.33,53.33,7.41,0.0
27.3,10.86,54.28,7.57,0.0
25.87,13.66,53.2,7.27,0.0
25.0,14.24,52.22,8.54,0.0
28.49,11.68,52.71,7.12,0.0
27.4,12.02,54.33,6.25,0.0
24.88,11.74,54.93,7.98,0.47
26.07,11.37,53.55,9.0,0.0
26.32,12.63,55.09,5.96,0.0
25.79,13.21,53.46,7.55,0.0
